event_id,event_date,city,category,order_id,ticket_qty,status,utm_source,utm_campaign,utm_content,sold_out
E034,2026-07-26,Gdansk,adults,O1001,4,confirmed,newsletter,summer_fun,banner,false
E032,2026-09-03,Warsaw,adults,O1002,2,confirmed,newsletter,summer_fun,carousel,true
E066,2026-05-18,Lodz,adults,O1003,3,confirmed,google,flash_sale,carousel,true
E024,2026-09-27,Gdansk,adults,O1004,4,confirmed,instagram,spring_sale,story_ad,true
E041,2026-05-11,Poznan,adults,O1005,4,cancelled,instagram,flash_sale,search_ad,false
E046,2026-05-24,Warsaw,kids,O1006,4,confirmed,newsletter,kids_event,banner,false
E006,2026-06-10,Warsaw,adults,O1007,2,cancelled,facebook,autumn_event,banner,true
E087,2026-09-24,Katowice,adults,O1008,1,confirmed,facebook,flash_sale,carousel,true
E047,2026-04-28,Poznan,kids,O1009,2,confirmed,instagram,spring_sale,carousel,true
E072,2026-07-23,Wroclaw,kids,O1010,4,confirmed,facebook,spring_sale,story_ad,true
E056,2026-08-14,Katowice,adults,O1011,4,cancelled,instagram,autumn_event,email_main,false
E087,2026-09-17,Wroclaw,adults,O1012,1,cancelled,instagram,spring_sale,email_main,false
E052,2026-08-16,Lodz,kids,O1013,2,confirmed,google,autumn_event,video_ad,false
E090,2026-05-13,Cracow,adults,O1014,3,confirmed,facebook,spring_sale,banner,true
E011,2026-05-27,Gdansk,kids,O1015,1,confirmed,facebook,kids_event,carousel,true
E077,2026-05-02,Katowice,adults,O1016,3,cancelled,google,autumn_event,carousel,true
E068,2026-06-01,Katowice,kids,O1017,4,confirmed,facebook,flash_sale,search_ad,false
E022,2026-04-20,Poznan,kids,O1018,3,confirmed,google,autumn_event,video_ad,true
E041,2026-05-02,Gdansk,kids,O1019,4,confirmed,google,flash_sale,banner,true
E017,2026-07-08,Wroclaw,adults,O1020,3,confirmed,google,flash_sale,video_ad,true
E003,2026-04-25,Cracow,adults,O1021,1,confirmed,facebook,spring_sale,search_ad,false
E097,2026-08-31,Lodz,kids,O1022,1,confirmed,newsletter,spring_sale,story_ad,false
E034,2026-05-19,Lodz,kids,O1023,1,confirmed,newsletter,spring_sale,carousel,false
E065,2026-05-24,Wroclaw,adults,O1024,1,confirmed,instagram,kids_event,banner,false
E095,2026-07-05,Gdansk,adults,O1025,5,confirmed,facebook,flash_sale,story_ad,true
E089,2026-05-16,Warsaw,adults,O1026,5,confirmed,google,kids_event,carousel,true
E027,2026-05-16,Wroclaw,kids,O1027,3,confirmed,google,summer_fun,email_main,true
E005,2026-06-14,Poznan,kids,O1028,2,confirmed,instagram,summer_fun,video_ad,true
E008,2026-09-09,Wroclaw,kids,O1029,1,cancelled,google,kids_event,story_ad,true
E098,2026-06-23,Gdansk,kids,O1030,4,confirmed,instagram,spring_sale,video_ad,false
E040,2026-05-13,Poznan,adults,O1031,1,confirmed,instagram,flash_sale,banner,false
E088,2026-05-14,Cracow,adults,O1032,3,confirmed,instagram,autumn_event,carousel,true
E059,2026-07-12,Cracow,adults,O1033,3,confirmed,instagram,autumn_event,carousel,false
E057,2026-05-03,Poznan,kids,O1034,2,confirmed,google,kids_event,email_main,true
E052,2026-04-11,Cracow,adults,O1035,5,confirmed,newsletter,autumn_event,banner,false
E012,2026-08-02,Katowice,adults,O1036,5,confirmed,newsletter,spring_sale,search_ad,false
E009,2026-04-28,Lodz,adults,O1037,2,confirmed,instagram,kids_event,story_ad,false
E030,2026-06-03,Warsaw,adults,O1038,5,confirmed,facebook,kids_event,story_ad,false
E017,2026-04-15,Warsaw,adults,O1039,4,confirmed,instagram,kids_event,search_ad,true
E076,2026-09-15,Katowice,kids,O1040,2,confirmed,facebook,summer_fun,carousel,false
E027,2026-08-22,Katowice,adults,O1041,1,confirmed,facebook,spring_sale,video_ad,false
E099,2026-07-30,Cracow,kids,O1042,4,confirmed,facebook,kids_event,search_ad,false
E079,2026-05-28,Wroclaw,kids,O1043,2,confirmed,newsletter,kids_event,email_main,false
E003,2026-09-16,Lodz,kids,O1044,3,confirmed,facebook,spring_sale,banner,true
E044,2026-09-15,Lodz,adults,O1045,3,confirmed,google,summer_fun,email_main,false
E079,2026-07-31,Cracow,adults,O1046,1,cancelled,newsletter,autumn_event,email_main,true
E092,2026-06-01,Cracow,kids,O1047,2,confirmed,instagram,flash_sale,email_main,true
E047,2026-09-25,Katowice,adults,O1048,1,confirmed,google,spring_sale,email_main,true
E015,2026-08-31,Katowice,kids,O1049,4,confirmed,google,kids_event,story_ad,true
E090,2026-07-15,Poznan,kids,O1050,4,confirmed,facebook,summer_fun,video_ad,true
E090,2026-09-08,Katowice,kids,O1051,3,cancelled,newsletter,spring_sale,carousel,true
E094,2026-05-10,Lodz,kids,O1052,1,confirmed,google,flash_sale,banner,false
E050,2026-06-19,Poznan,adults,O1053,5,confirmed,instagram,flash_sale,video_ad,false
E030,2026-05-04,Wroclaw,adults,O1054,5,confirmed,instagram,flash_sale,video_ad,true
E079,2026-04-01,Warsaw,kids,O1055,4,confirmed,google,summer_fun,video_ad,false
E095,2026-07-16,Warsaw,kids,O1056,3,confirmed,facebook,kids_event,email_main,false
E009,2026-05-28,Wroclaw,adults,O1057,1,confirmed,instagram,spring_sale,video_ad,true
E081,2026-09-26,Lodz,kids,O1058,4,confirmed,instagram,spring_sale,search_ad,true
E048,2026-09-07,Poznan,kids,O1059,5,confirmed,google,flash_sale,story_ad,false
E052,2026-08-16,Wroclaw,kids,O1060,1,confirmed,google,spring_sale,story_ad,true
E023,2026-04-04,Cracow,adults,O1061,2,cancelled,instagram,kids_event,carousel,false
E080,2026-07-06,Cracow,kids,O1062,3,confirmed,facebook,flash_sale,email_main,true
E046,2026-08-26,Gdansk,kids,O1063,3,confirmed,newsletter,summer_fun,banner,true
E078,2026-08-09,Gdansk,adults,O1064,4,cancelled,newsletter,autumn_event,email_main,true
E029,2026-06-27,Cracow,adults,O1065,3,confirmed,newsletter,summer_fun,banner,true
E079,2026-04-07,Gdansk,kids,O1066,2,confirmed,facebook,autumn_event,banner,true
E100,2026-06-13,Poznan,adults,O1067,5,cancelled,instagram,autumn_event,search_ad,true
E079,2026-09-16,Katowice,adults,O1068,1,confirmed,google,autumn_event,carousel,false
E100,2026-06-12,Gdansk,kids,O1069,4,confirmed,newsletter,summer_fun,banner,true
E083,2026-09-03,Lodz,kids,O1070,4,confirmed,instagram,spring_sale,search_ad,true
E090,2026-05-31,Warsaw,kids,O1071,3,confirmed,newsletter,spring_sale,video_ad,false
E080,2026-08-19,Wroclaw,kids,O1072,4,confirmed,instagram,kids_event,email_main,true
